slice_id,capability,current_path,target_path,status,delete_in_pr,notes
GAS-02,ghostty-routing,apps/swift/Sources/Capacitor/Models/GhosttyAXReader.swift,,deleted,yes,Replaced by native Ghostty automation client
GAS-01,ghostty-routing,apps/swift/Sources/Capacitor/Models/GhosttyAutomationClient.swift,apps/swift/Sources/Capacitor/Models/GhosttyAutomationClient.swift,migrated,no,Adapter boundary for all Ghostty AppleScript
GAS-02,terminal-activation,apps/swift/Sources/Capacitor/Models/TerminalLauncher.swift,apps/swift/Sources/Capacitor/Models/TerminalLauncher.swift,migrated,no,Routing and launch now use GhosttyAutomationClient
GAS-05,ghostty-launch,apps/swift/Sources/Capacitor/Models/TerminalDrivers.swift,apps/swift/Sources/Capacitor/Models/TerminalDrivers.swift,migrated,no,Replace legacy Ghostty open-based launch with native surface creation
GAS-05,ghostty-launch,apps/swift/Sources/Capacitor/Models/GhosttyAutomationClient.swift,apps/swift/Sources/Capacitor/Models/GhosttyAutomationClient.swift,migrated,no,Extend adapter boundary with native Ghostty surface-creation helpers
GAS-03,project-resume,apps/swift/Sources/Capacitor/Models/ProjectCreationCoordinator.swift,apps/swift/Sources/Capacitor/Models/ProjectCreationCoordinator.swift,migrated,no,Still uses TerminalScripts but Ghostty branch is now native AppleScript
GAS-02,ghostty-tests,apps/swift/Tests/CapacitorTests/GhosttyAXReaderTests.swift,,deleted,yes,Replaced by GhosttyAutomationClientTests
GAS-01,ghostty-tests,apps/swift/Tests/CapacitorTests/GhosttyAutomationClientTests.swift,apps/swift/Tests/CapacitorTests/GhosttyAutomationClientTests.swift,migrated,no,Adapter parsing, matching, and support probe tests
GAS-02,launcher-tests,apps/swift/Tests/CapacitorTests/TerminalLauncherTests.swift,apps/swift/Tests/CapacitorTests/TerminalLauncherTests.swift,migrated,no,Launch script and unified activation coverage updated
GAS-05,launcher-tests,apps/swift/Tests/CapacitorTests/TerminalLauncherTests.swift,apps/swift/Tests/CapacitorTests/TerminalLauncherTests.swift,migrated,no,Remove obsolete Ghostty open-launch assertions from the generic launcher suite
GAS-05,launcher-tests,apps/swift/Tests/CapacitorTests/GhosttyTerminalDriverTests.swift,apps/swift/Tests/CapacitorTests/GhosttyTerminalDriverTests.swift,migrated,no,Dedicated regression coverage for native Ghostty launch and script generation
GAS-04,docs,README.md,README.md,migrated,no,Ghostty 1.3+ requirement and native routing language
GAS-04,docs,.claude/docs/terminal-activation-ux-spec.md,.claude/docs/terminal-activation-ux-spec.md,migrated,no,Canonical activation UX contract updated
GAS-04,docs,.claude/docs/debugging-guide.md,.claude/docs/debugging-guide.md,migrated,no,Debugging guide now references GhosttyAutomationClientTests
GAS-04,docs,.claude/docs/gotchas.md,.claude/docs/gotchas.md,migrated,no,Gotchas doc now points at GhosttyAutomationClient.swift
GAS-04,docs,docs/PRE_RELEASE_CHECKLIST.md,docs/PRE_RELEASE_CHECKLIST.md,migrated,no,Manual QA terminology updated
GAS-04,docs,docs/ARCHITECTURE.md,docs/ARCHITECTURE.md,migrated,no,Architecture notes updated
GAS-05,docs,docs/plans/ghostty-applescript/DECISIONS.md,docs/plans/ghostty-applescript/DECISIONS.md,migrated,no,Replace stale launch rejection with the final native-launch decision
GAS-05,docs,docs/plans/ghostty-applescript/HANDOFF.md,docs/plans/ghostty-applescript/HANDOFF.md,migrated,no,Capture final launch-slice status and verification results
GAS-05,docs,docs/plans/ghostty-applescript/TRANSLATION_GUIDE.md,docs/plans/ghostty-applescript/TRANSLATION_GUIDE.md,migrated,no,Update launch translation guidance for native surface creation
GAS-05,docs,docs/plans/ghostty-applescript/guard.sh,docs/plans/ghostty-applescript/guard.sh,migrated,no,Ratchet Ghostty legacy open/keystroke launch patterns back to zero
GAS-05,docs,docs/audits/ghostty-applescript/AUDIT.md,docs/audits/ghostty-applescript/AUDIT.md,migrated,no,Replace stale launch-not-viable audit conclusion
GAS-05,docs,docs/manual-qa/ghostty-native-surface-matrix-2026-03-13.md,docs/manual-qa/ghostty-native-surface-matrix-2026-03-13.md,migrated,no,Promote the native surface matrix from migration evidence to shipped proof
GAS-05,docs,AGENT_CHANGELOG.md,AGENT_CHANGELOG.md,migrated,no,Record that Ghostty native surface creation is now the shipped launch path
