slice_id,capability,current_path,status,delete_in_pr,notes
slice-001,hook_registration_rust,core/capacitor-core/src/runtime_setup.rs,done,no,Legacy HTTP migration completed
slice-001,hook_registration_ffi,core/capacitor-core/src/lib.rs,done,no,Legacy HTTP migration completed
slice-001,uniffi_bindings,apps/swift/Sources/Capacitor/Bridge/capacitor_core.swift,done,no,Regenerated during legacy migration
slice-001,uniffi_bindings_src,apps/swift/bindings/capacitor_core.swift,done,no,Regenerated during legacy migration
slice-002,handle_subcommand,core/hud-hook/src/main.rs,done,yes,Handle subcommand removed
slice-002,stdin_reader,core/hud-hook/src/handle.rs,done,yes,stdin entrypoint removed
slice-002,smoke_test,tests/hud-hook/hud-hook-smoke.bats,done,no,Updated for serve mode
slice-002,sync_script,scripts/sync-hooks.sh,done,no,Verification path updated
slice-003,swift_installer,apps/swift/Sources/Capacitor/Helpers/HookInstaller.swift,done,no,Unified install path
slice-003,hook_server_mgr,apps/swift/Sources/Capacitor/Models/HookServerManager.swift,done,yes,installHttpHooksIfNeeded removed
slice-003,setup_requirements,apps/swift/Sources/Capacitor/Models/SetupRequirements.swift,done,no,Hook install flow aligned
slice-003,installer_tests,apps/swift/Tests/CapacitorTests/HookInstallerTests.swift,done,no,Legacy regression coverage retained
slice-004,detection_cleanup,core/capacitor-core/src/runtime_setup.rs,done,yes,Deprecated constants removed
slice-004,handle_cleanup,core/hud-hook/src/handle.rs,done,no,Command-path support tightened
slice-005,docs_main,core/hud-hook/src/main.rs,done,no,Docs updated for serve/cwd
slice-005,docs_script,scripts/sync-hooks.sh,done,no,Script docs updated
slice-005,docs_claude,CLAUDE.md,done,no,Hook docs updated
slice-005,docs_debug,.claude/docs/debugging-guide.md,done,no,Hook flow docs updated
p0-1,charter_scope,.claude/migration/CHARTER.md,done,yes,Replaced hook-only mission language
p0-1,plan_baseline,.claude/migration/HOLISTIC_PLAN.md,done,no,Holistic execution baseline document
p0-2,slice_ledger,.claude/migration/SLICES.yaml,done,no,Rebased to full program
p0-2,map_ledger,.claude/migration/MAP.csv,done,no,Status and scope recalibrated
p0-3,guard_ratchets,.claude/migration/guard.sh,done,no,Cross-system ratchets added
p0-4,session_handoff,.claude/migration/HANDOFF.md,done,no,Mandatory handoff protocol artifact
r1-1,hook_cwd_resolution,core/hud-hook/src/hook_types.rs,done,yes,Removed ambient env fallback from resolve_cwd
r1-1,hook_event_handle,core/hud-hook/src/handle.rs,done,no,Behavior preserved: missing cwd non-delete events continue to skip
r1-1,hook_http_path,core/hud-hook/src/serve.rs,done,no,No code change required for this slice
