slice_id,kind,capability,current_path,target_path,status,delete_in_pr,verification,notes
slice-000,control_plane,playbook,docs/plans/orchestrator-next-slices/AGENT_EXECUTION_PLAYBOOK.md,docs/plans/orchestrator-next-slices/AGENT_EXECUTION_PLAYBOOK.md,done,no,bash docs/plans/orchestrator-next-slices/guard.sh --status,Single-file agent entrypoint for the orchestrator migration.
slice-000,control_plane,mission_and_scope,docs/plans/orchestrator-next-slices/CHARTER.md,docs/plans/orchestrator-next-slices/CHARTER.md,done,no,bash docs/plans/orchestrator-next-slices/guard.sh --status,Defines invariants, non-goals, and ship gate.
slice-000,control_plane,decision_log,docs/plans/orchestrator-next-slices/DECISIONS.md,docs/plans/orchestrator-next-slices/DECISIONS.md,done,no,bash docs/plans/orchestrator-next-slices/guard.sh --status,Append-only architecture decision log.
slice-000,control_plane,slice_ledger,docs/plans/orchestrator-next-slices/SLICES.yaml,docs/plans/orchestrator-next-slices/SLICES.yaml,done,no,bash docs/plans/orchestrator-next-slices/guard.sh --status,Owns slice sequencing, cleanup targets, and verification.
slice-000,control_plane,file_map,docs/plans/orchestrator-next-slices/MAP.csv,docs/plans/orchestrator-next-slices/MAP.csv,done,no,bash docs/plans/orchestrator-next-slices/guard.sh --status,Tracks migration-owned files and intended outcomes.
slice-000,control_plane,ratchet_budgets,docs/plans/orchestrator-next-slices/RATCHETS.yaml,docs/plans/orchestrator-next-slices/RATCHETS.yaml,done,no,bash docs/plans/orchestrator-next-slices/guard.sh --status,Freezes legacy Workstreams reference budgets and migration cleanliness markers.
slice-000,control_plane,translation_reference,docs/plans/orchestrator-next-slices/TRANSLATION_GUIDE.md,docs/plans/orchestrator-next-slices/TRANSLATION_GUIDE.md,done,no,bash docs/plans/orchestrator-next-slices/guard.sh --status,Maps the current delegation slice to the future orchestrator target.
slice-000,control_plane,handoff_context,docs/plans/orchestrator-next-slices/HANDOFF.md,docs/plans/orchestrator-next-slices/HANDOFF.md,done,no,bash docs/plans/orchestrator-next-slices/guard.sh --status,Preserves exact resume context.
slice-000,tooling,ship_gate,docs/plans/orchestrator-next-slices/SHIP_CHECKLIST.md,docs/plans/orchestrator-next-slices/SHIP_CHECKLIST.md,done,no,bash docs/plans/orchestrator-next-slices/guard.sh --status,Defines release-ready evidence before major implementation begins.
slice-000,tooling,guard_script,docs/plans/orchestrator-next-slices/guard.sh,docs/plans/orchestrator-next-slices/guard.sh,done,no,bash docs/plans/orchestrator-next-slices/guard.sh --status,Runs control-plane checks, baseline verifier groups, and Workstreams ratchets.
slice-000,language,ubiquitous_language,UBIQUITOUS_LANGUAGE.md,UBIQUITOUS_LANGUAGE.md,done,no,bash docs/plans/orchestrator-next-slices/guard.sh --status,Canonical glossary for the orchestrator domain.
slice-001,docs,authoritative_orchestrator_spec,docs/superpowers/specs/2026-03-16-orchestrator-design-revised.md,docs/superpowers/specs/2026-03-16-orchestrator-design-revised.md,done,no,bash docs/plans/orchestrator-next-slices/guard.sh,The revised spec is now tracked on the current branch and serves as the architecture target.
