path,area,leverage,role,notes
apps/swift/Sources/Capacitor/Models/TerminalDrivers.swift,activation,high,current_host_driver_boundary,Home of GhosttyTerminalDriver plus the first-class iTerm and Terminal.app host drivers
apps/swift/Sources/Capacitor/Models/TerminalActivationFailure.swift,activation,high,terminal_failure_model,Canonical UI-facing activation failure type shared by Ghostty and host drivers
apps/swift/Sources/Capacitor/Models/TerminalLauncher.swift,activation,high,failure_propagation_facade,Threads driver focus and checked async launch results into pending failure state and terminal selection
apps/swift/Sources/Capacitor/Models/TerminalActivationCoordinator.swift,activation,medium,orchestration_boundary,Should stay as the coordinator boundary even if launch becomes async
apps/swift/Sources/Capacitor/Models/GhosttyAutomationClient.swift,activation,high,ghostty_native_adapter,Consumes the shared failure model while keeping Ghostty-specific AppleScript ownership
apps/swift/Sources/Capacitor/Models/AppState.swift,ui,high,activation_toast_surface,Uses typed terminal failure messages with a terminal-neutral fallback copy
apps/swift/Sources/Capacitor/Models/SupportedTerminalApp.swift,activation,medium,terminal_taxonomy,Useful shared home for user-facing app labels when failure copy needs them
apps/swift/Sources/Capacitor/Models/ProjectCreationCoordinator.swift,activation,medium,resume_launch_consumer,Uses TerminalScripts launch generation outside the live driver registry path
apps/swift/Tests/CapacitorTests/TerminalLauncherTests.swift,tests,high,host_activation_regression_surface,Covers activation orchestration, session switching, and host launch-script generation
apps/swift/Tests/CapacitorTests/GhosttyTerminalDriverTests.swift,tests,medium,quality_bar_reference,Reference shape for dedicated per-driver test files
apps/swift/Tests/CapacitorTests/AppStateTerminalActivationTests.swift,tests,medium,ui_failure_copy_guard,Focused regression suite for activation toast fallback and terminal-aware failure copy
apps/swift/Tests/CapacitorTests/ITermTerminalDriverTests.swift,tests,high,driver_regression_surface,Dedicated iTerm driver regression suite for focus and checked launch outcomes
apps/swift/Tests/CapacitorTests/TerminalAppTerminalDriverTests.swift,tests,high,driver_regression_surface,Dedicated Terminal.app driver regression suite for focus and checked launch outcomes
apps/swift/Tests/CapacitorTests/ProjectCreationCoordinatorTests.swift,tests,medium,resume_launch_guard,Relevant if resume launch wiring changes or gains new ownership
.claude/docs/terminal-activation-ux-spec.md,docs,high,source_of_truth,Must continue to describe TTY-based activation for iTerm and Terminal.app after the ownership split
docs/ARCHITECTURE.md,docs,medium,system_boundary_doc,Should describe Ghostty as special-case and iTerm or Terminal.app as separate host adapters
docs/manual-qa/terminal-routing-closeout-2026-03-12.md,docs,low,historical_evidence,Contains live host proof and old shared-driver log labels that should be refreshed carefully during closeout
docs/plans/terminal-routing-foundation/guard.sh,docs,medium,upstream_guard,Must stay green while this follow-up migration lands
